first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Jaden,McDaniels,SF,,,2024-01-03,,MIN,NO,-6.5,222.5,114.5,4700,15,13.3,20.9,39.3,20.0,4.26
Trey,Murphy III,SG,SF,Q,2024-01-03,,NO,MIN,+6.5,222.5,108,5400,4,10.3,23.3,44.0,20.0,3.70
Norman,Powell,SG,SF,,2024-01-03,,LAC,PHO,-4,232,118,5000,5,7.0,19.9,33.0,19.9,3.98
Eric,Gordon,SG,,,2024-01-03,,PHO,LAC,+4,232,114,5500,17,5.3,22.2,38.0,19.8,3.59
Santi,Aldama,PF,C,,2024-01-03,,MEM,TOR,-1,227.5,114.3,4200,2,4.5,17.0,30.8,19.8,4.70
Day'Ron,Sharpe,C,,,2024-01-03,,BKN,HOU,+5,220.5,107.8,4800,11,9.5,26.0,42.3,19.7,4.10
Alec,Burks,SG,SF,,2024-01-03,,DET,UTA,+8.5,240,115.8,4300,23,11.3,20.9,31.0,19.7,4.58
Jalen,Smith,PF,C,,2024-01-03,,IND,MIL,+3.5,257,126.8,5400,3,10.0,20.4,29.5,19.6,3.63
Naz,Reid,PF,C,,2024-01-03,,MIN,NO,-6.5,222.5,114.5,5200,12,8.0,18.1,36.8,19.4,3.73
Kyle,Anderson,SF,PF,,2024-01-03,,MIN,NO,-6.5,222.5,114.5,4600,15,7.5,17.5,24.8,19.3,4.20
Jabari,Walker,PF,,,2024-01-03,,POR,DAL,+11.5,238.5,113.5,5400,20,12.8,24.9,41.8,19.2,3.56
Shaedon,Sharpe,SG,SF,,2024-01-03,,POR,DAL,+11.5,238.5,113.5,6000,27,1.3,12.3,22.3,19.2,3.20
Herbert,Jones,SF,PF,,2024-01-03,,NO,MIN,+6.5,222.5,108,5500,3,12.3,17.3,26.0,18.7,3.40
Luke,Kennard,SG,,,2024-01-03,,MEM,TOR,-1,227.5,114.3,4400,26,3.8,19.2,25.8,18.6,4.23
Kevin,Knox II,PF,,,2024-01-03,,DET,UTA,+8.5,240,115.8,4200,27,6.3,15.3,27.5,18.5,4.40
Jae'Sean,Tate,SG,SF,,2024-01-03,,HOU,BKN,-5,220.5,112.8,4500,6,8.3,12.9,21.3,18.0,4.00
Bismack,Biyombo,C,,,2024-01-03,,MEM,TOR,-1,227.5,114.3,3800,26,6.0,14.2,22.5,17.5,4.61
Grant,Williams,PF,C,,2024-01-03,,DAL,POR,-11.5,238.5,125,4300,11,10.0,15.5,20.5,17.3,4.02
Dean,Wade,PF,C,,2024-01-03,,CLE,WAS,-9.5,239.5,124.5,4400,24,7.8,18.9,38.3,17.1,3.89
Dennis,Smith Jr.,PG,,,2024-01-03,,BKN,HOU,+5,220.5,107.8,4400,1,13.5,20.3,35.8,17.0,3.86
Corey,Kispert,SF,PF,,2024-01-03,,WAS,CLE,+9.5,239.5,115,4700,16,16.5,20.7,23.0,16.8,3.57
Georges,Niang,SF,PF,,2024-01-03,,CLE,WAS,-9.5,239.5,124.5,3600,23,6.0,15.9,28.0,16.5,4.58
Delon,Wright,PG,,,2024-01-03,,WAS,CLE,+9.5,239.5,115,3900,18,5.0,17.8,34.8,16.3,4.18
Bilal,Coulibaly,SG,SF,,2024-01-03,,WAS,CLE,+9.5,239.5,115,5200,8,11.5,16.0,19.0,16.2,3.12
Sam,Merrill,SG,,,2024-01-03,,CLE,WAS,-9.5,239.5,124.5,3400,7,1.0,20.5,38.8,16.2,4.76
Royce,O'Neale,SF,PF,,2024-01-03,,BKN,HOU,+5,220.5,107.8,4300,11,7.8,13.6,18.0,16.1,3.74
Larry,Nance Jr.,C,,,2024-01-03,,NO,MIN,+6.5,222.5,108,4500,20,9.3,19.7,29.5,15.8,3.50
Amen,Thompson,PG,SG,,2024-01-03,,HOU,BKN,-5,220.5,112.8,4100,14,4.0,13.8,29.5,15.5,3.78
Andrew,Nembhard,PG,SG,Q,2024-01-03,,IND,MIL,+3.5,257,126.8,5300,29,1.0,19.4,30.8,15.5,2.92
Isaiah,Jackson,C,,,2024-01-03,,IND,MIL,+3.5,257,126.8,3800,28,3.8,15.0,31.8,15.2,4.00
Duop,Reath,C,,Q,2024-01-03,,POR,DAL,+11.5,238.5,113.5,4700,8,1.3,17.4,41.3,14.8,3.15
Pat,Connaughton,SF,PF,,2024-01-03,,MIL,IND,-3.5,257,130.3,3900,26,6.3,12.6,19.0,14.5,3.72
Josh,Green,SF,PF,,2024-01-03,,DAL,POR,-11.5,238.5,125,4000,9,3.0,15.2,25.0,14.5,3.63
