Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Tahj Brooks (40259882),Tahj Brooks,40259882,RB/FLEX,4000,DET@CIN 10/05/2025 04:25PM ET,CIN,0.42
RB,Kye Robichaux (40260029),Kye Robichaux,40260029,RB/FLEX,4000,DET@CIN 10/05/2025 04:25PM ET,DET,0
RB,Sione Vaki (40260070),Sione Vaki,40260070,RB/FLEX,4000,DET@CIN 10/05/2025 04:25PM ET,DET,0
QB,Josh Johnson (40259035),Josh Johnson,40259035,QB,4000,WAS@LAC 10/05/2025 04:25PM ET,WAS,0
RB,Austin Ekeler (40259136),Austin Ekeler,40259136,RB/FLEX,4000,WAS@LAC 10/05/2025 04:25PM ET,WAS,6.55
RB,Chase Edmonds (40259166),Chase Edmonds,40259166,RB/FLEX,4000,WAS@LAC 10/05/2025 04:25PM ET,WAS,0
RB,Najee Harris (40259346),Najee Harris,40259346,RB/FLEX,4000,WAS@LAC 10/05/2025 04:25PM ET,LAC,3.87
QB,Sam Hartman (40259487),Sam Hartman,40259487,QB,4000,WAS@LAC 10/05/2025 04:25PM ET,WAS,0
RB,Hassan Haskins (40259596),Hassan Haskins,40259596,RB/FLEX,4000,WAS@LAC 10/05/2025 04:25PM ET,LAC,0
RB,Scott Matlock (40259608),Scott Matlock,40259608,RB/FLEX,4000,WAS@LAC 10/05/2025 04:25PM ET,LAC,0.28
QB,Trey Lance (40259612),Trey Lance,40259612,QB,4000,WAS@LAC 10/05/2025 04:25PM ET,LAC,0
QB,DJ Uiagalelei (40259802),DJ Uiagalelei,40259802,QB,4000,WAS@LAC 10/05/2025 04:25PM ET,LAC,0
RB,Kimani Vidal (40259824),Kimani Vidal,40259824,RB/FLEX,4000,WAS@LAC 10/05/2025 04:25PM ET,LAC,0
RB,Donovan Edwards (40259979),Donovan Edwards,40259979,RB/FLEX,4000,WAS@LAC 10/05/2025 04:25PM ET,WAS,0
